# p32 sites — machine-readable ledger (tools/string_sites.py --p32-tsv); consumed by lower.py --strings-sites
# dis sha256=5c1db5fb75c8c26a70eaeab5760213973d1c80e8711b6dacbb9c28376d4118f4
# blocks sha256=ba30a84139a7d2f489cdb6345eddde4dfdf6c77d6d75f2eaa14ab3df58a829d0
# mem sha256=1d44317d0995843e28fd576adffb8be977489975760def777d7e7c2a70803074
# pc	op	block	func	idiom	dest	verdict	category	reason	fold	ir	form	slice	chain
7015CB3D	WCMV	7015CB0B	ALCHEMIST_HOME	CONCAT-PIECE	a	EMIT			7015CB38 7015CB3A 7015CB3C	[@ac2, 18] = [@0x7015C687:0, "\x0Afor knowledge of "]	mixed	4	piece 2/2 of ALCHEMIST_HOME ('frame', 276)
7015CB46	WCMV	7015CB0B	ALCHEMIST_HOME	COPY-STR-EXACT+CALLRESULT	a	EMIT				[@ac2, ac0] = [@ac3, ac1]	register	6	piece 1/2 of ALCHEMIST_HOME ('frame', 396)
7015CB51	WCMV	7015CB0B	ALCHEMIST_HOME	CONCAT-PIECE+CALLRESULT	a	EMIT			7015CB48 7015CB4A 7015CB4D 7015CB50	[@ac2, sx16(M16[((sx16(M16[wp(ac3, 5)]) * 16) - 0xFEAFBB8)])] = [@bp((sx16(M16[wp(ac3, 5)]) * 16), -0x1FD5F76E), sx16(M16[((sx16(M16[wp(ac3, 5)]) * 16) - 0xFEAFBB8)])]	mixed	6	piece 2/2 of ALCHEMIST_HOME ('frame', 396)
7015CB5C	WCMV	7015CB0B	ALCHEMIST_HOME	ASSIGN-STR-VARYING+CALLRESULT	a	EMIT			7015CB58 7015CB5A	[@bp(ac3, 0x116), ac0] = [@bp(ac3, 0x18C), ac1]	mixed	6	copy-out of ALCHEMIST_HOME ('frame', 396) (total MATCH)
7015CE69	WCMV	7015CE51	ALCHEMIST_HOME	COPY-LIT-EXACT	a	EMIT			7015CE66 7015CE68	[@bp(ac3, 12), 15] = [@0x7015C671:0, "\x0A\x0BKnowledge of "]	expr	4	piece 1/2 of ALCHEMIST_HOME ('frame', 12)
7015CE74	WCMV	7015CE51	ALCHEMIST_HOME	CONCAT-PIECE	a	EMIT			7015CE6B 7015CE6D 7015CE70 7015CE73	[@ac2, sx16(M16[((sx16(M16[(M32[wp(ac3, -6)] + 5)]) * 16) - 0xFEAFBB8)])] = [@bp((sx16(M16[(M32[wp(ac3, -6)] + 5)]) * 16), -0x1FD5F76E), sx16(M16[((sx16(M16[(M32[wp(ac3, -6)] + 5)]) * 16) - 0xFEAFBB8)])]	mixed	4	piece 2/2 of ALCHEMIST_HOME ('frame', 12)
7015CE7D	WCMV	7015CE51	ALCHEMIST_HOME	COPY-STR-EXACT	a	EMIT			7015CE76 7015CE78 7015CE7A 7015CE7C	[@bp(ac3, 64), (sx16(M16[((sx16(M16[(M32[wp(ac3, -6)] + 5)]) * 16) - 0xFEAFBB8)]) + 15)] = [@bp(ac3, 12), (sx16(M16[((sx16(M16[(M32[wp(ac3, -6)] + 5)]) * 16) - 0xFEAFBB8)]) + 15)]	expr	4	piece 1/2 of ALCHEMIST_HOME ('frame', 64)
7015CE83	WCMV	7015CE51	ALCHEMIST_HOME	CONCAT-PIECE	a	EMIT			7015CE7E 7015CE80 7015CE82	[@ac2, 20] = [@0x7015C667:0, " has been acquired.\x0A"]	mixed	4	piece 2/2 of ALCHEMIST_HOME ('frame', 64)
7015CE8E	WCMV	7015CE51	ALCHEMIST_HOME	ASSIGN-STR-VARYING	a	EMIT			7015CE85 7015CE87 7015CE88 7015CE8A 7015CE8C	[@wp(ac3, 66), (sx16(M16[((sx16(M16[(M32[wp(ac3, -6)] + 5)]) * 16) - 0xFEAFBB8)]) + 35) varying] = [@bp(ac3, 64), (sx16(M16[((sx16(M16[(M32[wp(ac3, -6)] + 5)]) * 16) - 0xFEAFBB8)]) + 35)]	expr	5	copy-out of ALCHEMIST_HOME ('frame', 64) (total MATCH)
7015CF02	WCMV	7015CEE8	ALCHEMIST_HOME	COPY-LIT-EXACT	a	EMIT			7015CEFD 7015CEFF 7015CF01	[@bp(ac3, 12), 15] = [@0x7015C671:0, "\x0A\x0BKnowledge of "]	expr	4	piece 1/2 of ALCHEMIST_HOME ('frame', 12)
7015CF0D	WCMV	7015CEE8	ALCHEMIST_HOME	CONCAT-PIECE+CALLRESULT	a	EMIT				[@ac2, ac0] = [@ac3, ac1]	register	6	piece 2/2 of ALCHEMIST_HOME ('frame', 12)
7015CF16	WCMV	7015CEE8	ALCHEMIST_HOME	COPY-STR-EXACT+CALLRESULT	a	EMIT				[@ac2, ac0] = [@ac3, ac1]	register	6	piece 1/2 of ALCHEMIST_HOME ('frame', 64)
7015CF1C	WCMV	7015CEE8	ALCHEMIST_HOME	CONCAT-PIECE	a	EMIT			7015CF17 7015CF19 7015CF1B	[@ac2, 18] = [@0x7015C65D:0, " has been erased.\x0A"]	mixed	4	piece 2/2 of ALCHEMIST_HOME ('frame', 64)
7015CF27	WCMV	7015CEE8	ALCHEMIST_HOME	ASSIGN-STR-VARYING+CALLRESULT	a	EMIT			7015CF23 7015CF25	[@bp(ac3, 134), ac0] = [@bp(ac3, 64), ac1]	mixed	6	copy-out of ALCHEMIST_HOME ('frame', 64) (total MATCH)
7015D131	WCMV	7015D12A	ALLY_PLAYER	ASSIGN-STR-VARYING-PAD	?	EMIT			7015D12C 7015D12E	[@bp(ac3, 0x40A), ac0] = [@0x7000021D:0, ac1]	mixed	5	
7015D1BB	WCMV	7015D1AB	ALLY_PLAYER	COPY-LIT-EXACT	a	EMIT			7015D1B6 7015D1B8 7015D1BA	[@bp(ac3, 0x440), 6] = [@0x7015CF71:0, "\x0B     "]	expr	4	piece 1/2 of ALLY_PLAYER ('frame', 1088)
7015D1C4	WCMV	7015D1AB	ALLY_PLAYER	CONCAT-PIECE	a	EMIT			7015D1BD 7015D1BF 7015D1C1 7015D1C3	[@ac2, sx16(M16[M32[wp(ac3, 16)]])] = [@M32[wp(ac3, 16)], varying]	mixed	4	piece 2/2 of ALLY_PLAYER ('frame', 1088)
7015D1CD	WCMV	7015D1AB	ALLY_PLAYER	COPY-STR-EXACT	a	EMIT			7015D1C6 7015D1C8 7015D1CA 7015D1CC	[@bp(ac3, 0x49C), (sx16(M16[M32[wp(ac3, 16)]]) + 6)] = [@bp(ac3, 0x440), (sx16(M16[M32[wp(ac3, 16)]]) + 6)]	expr	4	piece 1/1 of ALLY_PLAYER ('frame', 1180)
7015D1DB	WCMV	7015D1AB	ALLY_PLAYER	ASSIGN-STR-VARYING	a	EMIT			7015D1D2 7015D1D4 7015D1D5 7015D1D7 7015D1D9	[@wp(ac3, 544), (sx16(M16[M32[wp(ac3, 16)]]) + 7) varying] = [@bp(ac3, 0x49C), (sx16(M16[M32[wp(ac3, 16)]]) + 7)]	expr	5	copy-out of ALLY_PLAYER ('frame', 1180) (total MATCH)
7015D94A	WCMV	7015D94A	ATTACK	CONCAT-PIECE	a	EMIT				[@ac2, ac0] = [@ac3, ac1]	mixed	6	piece 1/1 of ATTACK ('frame', 54)
7015D981	WCMV	7015D981	ATTACK	CONCAT-PIECE	a	EMIT				[@ac2, ac0] = [@ac3, ac1]	mixed	6	piece 1/1 of ATTACK ('frame', 54)
7015D9D2	WCMV	7015D9A7	ATTACK	COPY-LIT-EXACT	a	EMIT			7015D9CD 7015D9CF 7015D9D1	[@bp(ac3, 144), 23] = [@0x7015D719:0, "\x0BYou are attacking the "]	expr	4	piece 1/2 of ATTACK ('frame', 144)
7015D9DD	WCMV	7015D9A7	ATTACK	CONCAT-PIECE	a	EMIT			7015D9D4 7015D9D6 7015D9D9 7015D9DC	[@ac2, sx16(M16[((sx16(M16[((M32[wp(ac3, 10)] * 686) + M32[0x70000210] + 42)]) * 11) - 0xFEAE09C)])] = [@bp((sx16(M16[((M32[wp(ac3, 10)] * 686) + M32[0x70000210] + 42)]) * 11), -0x1FD5C136), sx16(M16[((sx16(M16[((M32[wp(ac3, 10)] * 686) + M32[0x70000210] + 42)]) * 11) - 0xFEAE09C)])]	mixed	4	piece 2/2 of ATTACK ('frame', 144)
7015D9E6	WCMV	7015D9A7	ATTACK	COPY-STR-EXACT	a	EMIT			7015D9DF 7015D9E1 7015D9E3 7015D9E5	[@bp(ac3, 196), (sx16(M16[((sx16(M16[((M32[wp(ac3, 10)] * 686) + M32[0x70000210] + 42)]) * 11) - 0xFEAE09C)]) + 23)] = [@bp(ac3, 144), (sx16(M16[((sx16(M16[((M32[wp(ac3, 10)] * 686) + M32[0x70000210] + 42)]) * 11) - 0xFEAE09C)]) + 23)]	expr	4	piece 1/1 of ATTACK ('frame', 196)
7015D9F9	WCMV	7015D9A7	ATTACK	COPY-STR-EXACT	a	EMIT			7015D9F2 7015D9F4 7015D9F6 7015D9F8	[@bp(ac3, 240), (sx16(M16[((sx16(M16[((M32[wp(ac3, 10)] * 686) + M32[0x70000210] + 42)]) * 11) - 0xFEAE09C)]) + 24)] = [@bp(ac3, 196), (sx16(M16[((sx16(M16[((M32[wp(ac3, 10)] * 686) + M32[0x70000210] + 42)]) * 11) - 0xFEAE09C)]) + 24)]	expr	4	piece 1/2 of ATTACK ('frame', 240); copy-out of ATTACK ('frame', 196) (total MATCH)
7015DA05	WCMV	7015D9A7	ATTACK	CONCAT-PIECE	a	EMIT			7015DA00 7015DA02 7015DA04	[@ac2, sx16(M16[((M32[wp(ac3, 10)] * 686) + M32[0x70000210] - 0x271)])] = [@((M32[wp(ac3, 10)] * 686) + M32[0x70000210] - 0x271), varying]	mixed	4	piece 2/2 of ATTACK ('frame', 240)
7015DA0E	WCMV	7015D9A7	ATTACK	COPY-STR-EXACT	a	EMIT			7015DA07 7015DA09 7015DA0B 7015DA0D	[@bp(ac3, 0x13C), (sx16(M16[((sx16(M16[((M32[wp(ac3, 10)] * 686) + M32[0x70000210] + 42)]) * 11) - 0xFEAE09C)]) + sx16(M16[((M32[wp(ac3, 10)] * 686) + M32[0x70000210] - 0x271)]) + 24)] = [@bp(ac3, 240), (sx16(M16[((sx16(M16[((M32[wp(ac3, 10)] * 686) + M32[0x70000210] + 42)]) * 11) - 0xFEAE09C)]) + sx16(M16[((M32[wp(ac3, 10)] * 686) + M32[0x70000210] - 0x271)]) + 24)]	expr	4	piece 1/2 of ATTACK ('frame', 316)
7015DA15	WCMV	7015D9A7	ATTACK	CONCAT-PIECE	a	EMIT			7015DA10 7015DA12 7015DA14	[@ac2, sx16(M16[wp(ac3, 26)])] = [@wp(ac3, 26), varying]	mixed	4	piece 2/2 of ATTACK ('frame', 316)
7015DA1E	WCMV	7015D9A7	ATTACK	COPY-STR-EXACT	a	EMIT			7015DA17 7015DA19 7015DA1B 7015DA1D	[@bp(ac3, 0x1A8), (sx16(M16[((sx16(M16[((M32[wp(ac3, 10)] * 686) + M32[0x70000210] + 42)]) * 11) - 0xFEAE09C)]) + sx16(M16[((M32[wp(ac3, 10)] * 686) + M32[0x70000210] - 0x271)]) + sx16(M16[wp(ac3, 26)]) + 24)] = [@bp(ac3, 0x13C), (sx16(M16[((sx16(M16[((M32[wp(ac3, 10)] * 686) + M32[0x70000210] + 42)]) * 11) - 0xFEAE09C)]) + sx16(M16[((M32[wp(ac3, 10)] * 686) + M32[0x70000210] - 0x271)]) + sx16(M16[wp(ac3, 26)]) + 24)]	expr	4	piece 1/2 of ATTACK ('frame', 424); copy-out of ATTACK ('frame', 316) (total MATCH)
7015DA24	WCMV	7015D9A7	ATTACK	CONCAT-PIECE	a	EMIT			7015DA1F 7015DA21 7015DA23	[@ac2, 53] = [@0x7015D6FD:0, "\x0A\x0BDo you want to (F) fight, (C) cast, or (I) ignore? "]	mixed	4	piece 2/2 of ATTACK ('frame', 424)
7015DA2F	WCMV	7015D9A7	ATTACK	ASSIGN-STR-VARYING	a	EMIT			7015DA26 7015DA28 7015DA29 7015DA2B 7015DA2D	[@wp(ac3, 292), (sx16(M16[((sx16(M16[((M32[wp(ac3, 10)] * 686) + M32[0x70000210] + 42)]) * 11) - 0xFEAE09C)]) + sx16(M16[((M32[wp(ac3, 10)] * 686) + M32[0x70000210] - 0x271)]) + sx16(M16[wp(ac3, 26)]) + 77) varying] = [@bp(ac3, 0x1A8), (sx16(M16[((sx16(M16[((M32[wp(ac3, 10)] * 686) + M32[0x70000210] + 42)]) * 11) - 0xFEAE09C)]) + sx16(M16[((M32[wp(ac3, 10)] * 686) + M32[0x70000210] - 0x271)]) + sx16(M16[wp(ac3, 26)]) + 77)]	expr	5	copy-out of ATTACK ('frame', 424) (total MATCH)
7015DA6E	WCMV	7015DA51	ATTACK	COPY-LIT-EXACT	a	EMIT			7015DA69 7015DA6B 7015DA6D	[@bp(ac3, 144), 21] = [@0x7015D6F1:0, "\x0BYou are attacking a "]	expr	4	piece 1/2 of ATTACK ('frame', 144)
7015DA79	WCMV	7015DA51	ATTACK	CONCAT-PIECE	a	EMIT			7015DA70 7015DA72 7015DA75 7015DA78	[@ac2, sx16(M16[((sx16(M16[wp(ac3, 7)]) * 12) - 0xFFFFD9A)])] = [@bp((sx16(M16[wp(ac3, 7)]) * 12), -0x1FFFFB32), sx16(M16[((sx16(M16[wp(ac3, 7)]) * 12) - 0xFFFFD9A)])]	mixed	4	piece 2/2 of ATTACK ('frame', 144)
7015DA82	WCMV	7015DA51	ATTACK	COPY-STR-EXACT	a	EMIT			7015DA7B 7015DA7D 7015DA7F 7015DA81	[@bp(ac3, 240), (sx16(M16[((sx16(M16[wp(ac3, 7)]) * 12) - 0xFFFFD9A)]) + 21)] = [@bp(ac3, 144), (sx16(M16[((sx16(M16[wp(ac3, 7)]) * 12) - 0xFFFFD9A)]) + 21)]	expr	4	piece 1/2 of ATTACK ('frame', 240); copy-out of ATTACK ('frame', 144) (total MATCH)
7015DA89	WCMV	7015DA51	ATTACK	CONCAT-PIECE	a	EMIT			7015DA84 7015DA86 7015DA88	[@ac2, sx16(M16[wp(ac3, 26)])] = [@wp(ac3, 26), varying]	mixed	4	piece 2/2 of ATTACK ('frame', 240)
7015DA92	WCMV	7015DA51	ATTACK	COPY-STR-EXACT	a	EMIT			7015DA8B 7015DA8D 7015DA8F 7015DA91	[@bp(ac3, 0x1A8), (sx16(M16[((sx16(M16[wp(ac3, 7)]) * 12) - 0xFFFFD9A)]) + sx16(M16[wp(ac3, 26)]) + 21)] = [@bp(ac3, 240), (sx16(M16[((sx16(M16[wp(ac3, 7)]) * 12) - 0xFFFFD9A)]) + sx16(M16[wp(ac3, 26)]) + 21)]	expr	4	piece 1/2 of ATTACK ('frame', 424)
7015DA98	WCMV	7015DA51	ATTACK	CONCAT-PIECE	a	EMIT			7015DA93 7015DA95 7015DA97	[@ac2, 66] = [@0x7015D6CF:0, "\x0A\x0BDo you want to (F) fight, (C) cast, (B) bargain, or (I) ignore? "]	mixed	4	piece 2/2 of ATTACK ('frame', 424)
7015DAA3	WCMV	7015DA51	ATTACK	ASSIGN-STR-VARYING	a	EMIT			7015DA9A 7015DA9C 7015DA9D 7015DA9F 7015DAA1	[@wp(ac3, 292), (sx16(M16[((sx16(M16[wp(ac3, 7)]) * 12) - 0xFFFFD9A)]) + sx16(M16[wp(ac3, 26)]) + 87) varying] = [@bp(ac3, 0x1A8), (sx16(M16[((sx16(M16[wp(ac3, 7)]) * 12) - 0xFFFFD9A)]) + sx16(M16[wp(ac3, 26)]) + 87)]	expr	5	copy-out of ATTACK ('frame', 424) (total MATCH)
7015DBD8	WCMV	7015DBBD	ATTACK	COPY-STR-EXACT	a	EMIT			7015DBD0 7015DBD1 7015DBD4 7015DBD7	[@bp(ac3, 101), sx16(M16[((sx16(M16[wp(ac3, 6)]) * 16) - 0xFEAFBB8)])] = [@bp((sx16(M16[wp(ac3, 6)]) * 16), -0x1FD5F76E), sx16(M16[((sx16(M16[wp(ac3, 6)]) * 16) - 0xFEAFBB8)])]	expr	4	piece 1/1 of ATTACK ('frame', 101)
7015DBE1	WCMV	7015DBBD	ATTACK	COPY-STR-EXACT	a	EMIT			7015DBDA 7015DBDC 7015DBDE 7015DBE0	[@bp(ac3, 144), (sx16(M16[((sx16(M16[wp(ac3, 6)]) * 16) - 0xFEAFBB8)]) + 1)] = [@bp(ac3, 100), (sx16(M16[((sx16(M16[wp(ac3, 6)]) * 16) - 0xFEAFBB8)]) + 1)]	expr	4	piece 1/1 of ATTACK ('frame', 144)
7015DBEF	WCMV	7015DBBD	ATTACK	ASSIGN-STR-VARYING	a	EMIT			7015DBE6 7015DBE8 7015DBE9 7015DBEB 7015DBED	[@wp(ac3, 50), (sx16(M16[((sx16(M16[wp(ac3, 6)]) * 16) - 0xFEAFBB8)]) + 2) varying] = [@bp(ac3, 144), (sx16(M16[((sx16(M16[wp(ac3, 6)]) * 16) - 0xFEAFBB8)]) + 2)]	expr	5	copy-out of ATTACK ('frame', 144) (total MATCH)
7015DFB1	WCMV	7015DFA0	ATTACK	COPY-LIT-EXACT	a	EMIT			7015DFAC 7015DFAE 7015DFB0	[@bp(ac3, 240), 16] = [@0x7015D5EB:0, "\x0A\x0BYou have done "]	expr	4	piece 1/2 of ATTACK ('frame', 240)
7015DFB8	WCMV	7015DFA0	ATTACK	CONCAT-PIECE	a	EMIT			7015DFB3 7015DFB5 7015DFB7	[@ac2, sx16(M16[wp(ac3, 50)])] = [@wp(ac3, 50), varying]	mixed	4	piece 2/2 of ATTACK ('frame', 240)
7015DFC1	WCMV	7015DFA0	ATTACK	COPY-STR-EXACT	a	EMIT			7015DFBA 7015DFBC 7015DFBE 7015DFC0	[@bp(ac3, 0x13C), (sx16(M16[wp(ac3, 50)]) + 16)] = [@bp(ac3, 240), (sx16(M16[wp(ac3, 50)]) + 16)]	expr	4	piece 1/2 of ATTACK ('frame', 316)
7015DFC7	WCMV	7015DFA0	ATTACK	CONCAT-PIECE	a	EMIT			7015DFC2 7015DFC4 7015DFC6	[@ac2, 25] = [@0x7015D5DD:0, " strength points damage.\x0A"]	mixed	4	piece 2/2 of ATTACK ('frame', 316)
7015DFD2	WCMV	7015DFA0	ATTACK	ASSIGN-STR-VARYING	a	EMIT			7015DFC9 7015DFCB 7015DFCC 7015DFCE 7015DFD0	[@wp(ac3, 120), (sx16(M16[wp(ac3, 50)]) + 41) varying] = [@bp(ac3, 0x13C), (sx16(M16[wp(ac3, 50)]) + 41)]	expr	5	copy-out of ATTACK ('frame', 316) (total MATCH)
7015E141	WCMV	7015E129	ATTACK	COPY-LIT-EXACT	a	EMIT			7015E13E 7015E140	[@bp(ac3, 8), 5] = [@0x7015D5B5:0, "\x0BThe "]	expr	4	piece 1/2 of ATTACK ('frame', 8)
7015E14C	WCMV	7015E129	ATTACK	CONCAT-PIECE	a	EMIT				[@ac2, ac0] = [@ac3, ac1]	register	4	piece 2/2 of ATTACK ('frame', 8)
7015E155	WCMV	7015E129	ATTACK	COPY-STR-EXACT	a	EMIT				[@ac2, ac0] = [@ac3, ac1]	register	4	piece 1/2 of ATTACK ('frame', 44)
7015E15B	WCMV	7015E129	ATTACK	CONCAT-PIECE	a	EMIT			7015E156 7015E158 7015E15A	[@ac2, 18] = [@0x7015D5AB:0, " has been killed!\x0A"]	mixed	4	piece 2/2 of ATTACK ('frame', 44)
7015E166	WCMV	7015E129	ATTACK	ASSIGN-STR-VARYING	a	EMIT			7015E162 7015E164	[@bp(ac3, 90), ac0] = [@bp(ac3, 44), ac1]	mixed	5	copy-out of ATTACK ('frame', 44) (total MATCH)
7015E29E	WCMV	7015E286	ATTACK	COPY-LIT-EXACT	a	EMIT			7015E29B 7015E29D	[@bp(ac3, 24), 5] = [@0x7015D5B5:0, "\x0BThe "]	expr	4	piece 1/2 of ATTACK ('frame', 24)
7015E2A9	WCMV	7015E286	ATTACK	CONCAT-PIECE	a	EMIT			7015E2A0 7015E2A2 7015E2A5 7015E2A8	[@ac2, sx16(M16[((sx16(M16[(M32[wp(ac3, -6)] + 7)]) * 12) - 0xFFFFD9A)])] = [@bp((sx16(M16[(M32[wp(ac3, -6)] + 7)]) * 12), -0x1FFFFB32), sx16(M16[((sx16(M16[(M32[wp(ac3, -6)] + 7)]) * 12) - 0xFFFFD9A)])]	mixed	4	piece 2/2 of ATTACK ('frame', 24)
7015E2B2	WCMV	7015E286	ATTACK	COPY-STR-EXACT	a	EMIT			7015E2AB 7015E2AD 7015E2AF 7015E2B1	[@bp(ac3, 52), (sx16(M16[((sx16(M16[(M32[wp(ac3, -6)] + 7)]) * 12) - 0xFFFFD9A)]) + 5)] = [@bp(ac3, 24), (sx16(M16[((sx16(M16[(M32[wp(ac3, -6)] + 7)]) * 12) - 0xFFFFD9A)]) + 5)]	expr	4	piece 1/2 of ATTACK ('frame', 52); copy-out of ATTACK ('frame', 24) (total MATCH)
7015E2B8	WCMV	7015E286	ATTACK	CONCAT-PIECE	a	EMIT			7015E2B3 7015E2B5 7015E2B7	[@ac2, 18] = [@0x7015D5AB:0, " has been killed!\x0A"]	mixed	4	piece 2/2 of ATTACK ('frame', 52)
7015E2C3	WCMV	7015E286	ATTACK	ASSIGN-STR-VARYING	a	EMIT			7015E2BA 7015E2BC 7015E2BD 7015E2BF 7015E2C1	[@wp(ac3, 50), (sx16(M16[((sx16(M16[(M32[wp(ac3, -6)] + 7)]) * 12) - 0xFFFFD9A)]) + 23) varying] = [@bp(ac3, 52), (sx16(M16[((sx16(M16[(M32[wp(ac3, -6)] + 7)]) * 12) - 0xFFFFD9A)]) + 23)]	expr	5	copy-out of ATTACK ('frame', 52) (total MATCH)
7015E7A6	WCMV	7015E78E	ATTACK	COPY-LIT-EXACT	a	EMIT			7015E7A3 7015E7A5	[@bp(ac3, 148), 66] = [@0x7015D589:0, "\x0BYour skill as a dragon slayer has given you an\x0Aalliance with the "]	expr	4	piece 1/2 of ATTACK ('frame', 148)
7015E7B1	WCMV	7015E78E	ATTACK	CONCAT-PIECE	a	EMIT			7015E7A8 7015E7AA 7015E7AD 7015E7B0	[@ac2, sx16(M16[((M32[(M32[wp(ac3, -6)] + 14)] * 12) - 0xFFFFD9A)])] = [@bp((M32[(M32[wp(ac3, -6)] + 14)] * 12), -0x1FFFFB32), sx16(M16[((M32[(M32[wp(ac3, -6)] + 14)] * 12) - 0xFFFFD9A)])]	mixed	4	piece 2/2 of ATTACK ('frame', 148)
7015E7BA	WCMV	7015E78E	ATTACK	COPY-STR-EXACT	a	EMIT			7015E7B3 7015E7B5 7015E7B7 7015E7B9	[@bp(ac3, 236), (sx16(M16[((M32[(M32[wp(ac3, -6)] + 14)] * 12) - 0xFFFFD9A)]) + 66)] = [@bp(ac3, 148), (sx16(M16[((M32[(M32[wp(ac3, -6)] + 14)] * 12) - 0xFFFFD9A)]) + 66)]	expr	4	piece 1/2 of ATTACK ('frame', 236)
7015E7C0	WCMV	7015E78E	ATTACK	CONCAT-PIECE	a	EMIT			7015E7BB 7015E7BD 7015E7BF	[@ac2, 7] = [@0x7015D585:0, " kind.\x0A"]	mixed	4	piece 2/2 of ATTACK ('frame', 236)
