# p33 sites — machine-readable ledger (tools/string_sites.py --p33-tsv); consumed by lower.py --strings-sites33
# dis sha256=5c1db5fb75c8c26a70eaeab5760213973d1c80e8711b6dacbb9c28376d4118f4
# blocks sha256=ba30a84139a7d2f489cdb6345eddde4dfdf6c77d6d75f2eaa14ab3df58a829d0
# mem sha256=1d44317d0995843e28fd576adffb8be977489975760def777d7e7c2a70803074
# strhooks sha256=f4251e4c8a7c12005093bcf11d4009e1bb62eb3134e05efe00810553ca985476
# arena sha256=bb779f499772125fd7bc4b952582f19d228c8fb4702a5444736edbd72dcf01ed
# pc	op	block	func	idiom	dest	verdict	category	reason	fold	ir	form	slice	chain
70166180	WCMV	70166144	DIED	CONCAT-PIECE	?	EMIT			7016617B 7016617D 7016617F	[@ac2, 23] = [@0x70165FB5:0, "\x0ABetter luck next time!"]	mixed	7	s@70166144.2
7016619C	WCMV	70166193	DIED	ASSIGN-STR-VARYING	?	EMIT				[@bp(s@70166144.3, 2), ac0] = [@bp(s@70166144.2, 0), ac1]	mixed	7	s@70166144.3 s@70166144.2
701661B6	WADI	701661AE	DIED	CLAIM-BASE	-	EMIT			701661B5	ac1 = s@701661AE.1	stmt	7	s@701661AE.1
701661D3	WADI	701661AE	DIED	CLAIM-BASE	-	EMIT			701661D2	ac1 = s@701661AE.2	stmt	7	s@701661AE.2
701661ED	WADI	701661AE	DIED	CLAIM-BASE	-	EMIT			701661EC	ac1 = s@701661AE.3	stmt	7	s@701661AE.3
701661BC	WMSP	701661AE	DIED	CLAIM	-	EMIT				claim s@701661AE.1, ac2	stmt	7	s@701661AE.1
701661DA	WMSP	701661AE	DIED	CLAIM	-	EMIT				claim s@701661AE.2, ac2	stmt	7	s@701661AE.2
701661F5	WMSP	701661AE	DIED	CLAIM	-	EMIT				claim s@701661AE.3, ac2	stmt	7	s@701661AE.3
70166215	STASP	70166212	DIED	RELEASE	-	EMIT				release s@701661AE, ac1	stmt	7	s@701661AE.1
701661C8	WCMV	701661AE	DIED	COPY-LIT-EXACT	?	EMIT			701661C5 701661C7	[@bp(s@701661AE.1, 0), 3] = [@0x70165FC1:0, "\x0C\x0A\x0A"]	expr	7	s@701661AE.1
701661D1	WCMV	701661AE	DIED	CONCAT-PIECE	?	EMIT			701661CA 701661CC 701661CE 701661D0	[@ac2, sx16(M16[M32[wp(ac3, -12)]])] = [@M32[wp(ac3, -12)], varying]	mixed	7	s@701661AE.1
701661E5	WCMV	701661AE	DIED	COPY-STR-EXACT	?	EMIT				[@bp(s@701661AE.2, 0), ac0] = [@bp(s@701661AE.1, 0), ac1]	mixed	7	s@701661AE.2 s@701661AE.1
701661EB	WCMV	701661AE	DIED	CONCAT-PIECE	?	EMIT			701661E6 701661E8 701661EA	[@ac2, 76] = [@0x70165F8F:0, "\x0AThere is a puff a orange smoke (sound familiar) and you are reincarnated!\x0A\x0A"]	mixed	7	s@701661AE.2
70166207	WCMV	701661FE	DIED	ASSIGN-STR-VARYING	?	EMIT				[@bp(s@701661AE.3, 2), ac0] = [@bp(s@701661AE.2, 0), ac1]	mixed	7	s@701661AE.3 s@701661AE.2
70166570	WADI	70166564	DISPLAY_MAGIC	CLAIM-BASE	-	EMIT			7016656F	ac0 = s@70166564.1	stmt	7	s@70166564.1
70166593	WADI	70166564	DISPLAY_MAGIC	CLAIM-BASE	-	EMIT			70166592	ac1 = s@70166564.2	stmt	7	s@70166564.2
701665AD	WADI	70166564	DISPLAY_MAGIC	CLAIM-BASE	-	EMIT			701665AC	ac1 = s@70166564.3	stmt	7	s@70166564.3
701665C8	WADI	70166564	DISPLAY_MAGIC	CLAIM-BASE	-	EMIT			701665C7	ac1 = s@70166564.4	stmt	7	s@70166564.4
70166578	WMSP	70166564	DISPLAY_MAGIC	CLAIM	-	EMIT				claim s@70166564.1, ac0	stmt	7	s@70166564.1
7016659A	WMSP	70166564	DISPLAY_MAGIC	CLAIM	-	EMIT				claim s@70166564.2, ac2	stmt	7	s@70166564.2
701665B4	WMSP	70166564	DISPLAY_MAGIC	CLAIM	-	EMIT				claim s@70166564.3, ac2	stmt	7	s@70166564.3
701665D0	WMSP	70166564	DISPLAY_MAGIC	CLAIM	-	EMIT				claim s@70166564.4, ac2	stmt	7	s@70166564.4
701665F0	STASP	701665ED	DISPLAY_MAGIC	RELEASE	-	EMIT				release s@70166564, ac1	stmt	7	s@70166564.1
70166589	WCMV	70166564	DISPLAY_MAGIC	COPY-STR-EXACT	?	EMIT			70166580 70166582 70166585 70166588	[@bp(s@70166564.1, 0), sx16(M16[((sx16(M16[wp(ac3, 2)]) * 16) - 0xFEAFBB8)])] = [@bp((sx16(M16[wp(ac3, 2)]) * 16), -0x1FD5F76E), sx16(M16[((sx16(M16[wp(ac3, 2)]) * 16) - 0xFEAFBB8)])]	expr	7	s@70166564.1
70166591	WCMV	70166564	DISPLAY_MAGIC	CONCAT-PIECE	?	EMIT			7016658B 7016658D 70166590	[@ac2, (0 - sx16(M16[((sx16(M16[wp(ac3, 2)]) * 16) - 0xFEAFBB8)]) + 30)] = [@0x7015155A:0, (0 - sx16(M16[((sx16(M16[wp(ac3, 2)]) * 16) - 0xFEAFBB8)]) + 30)]	mixed	7	s@70166564.1
701665A5	WCMV	70166564	DISPLAY_MAGIC	COPY-STR-EXACT	?	EMIT			701665A4	[@bp(s@70166564.2, 0), 30] = [@bp(s@70166564.1, 0), 30]	expr	7	s@70166564.2 s@70166564.1
701665AB	WCMV	70166564	DISPLAY_MAGIC	CONCAT-PIECE	?	EMIT			701665A6 701665A8 701665AA	[@ac2, 2] = [@0x701663BC:0, "| "]	mixed	7	s@70166564.2
701665BF	WCMV	70166564	DISPLAY_MAGIC	COPY-STR-EXACT	?	EMIT			701665BE	[@bp(s@70166564.3, 0), 32] = [@bp(s@70166564.2, 0), 32]	expr	7	s@70166564.3 s@70166564.2
701665C6	WCMV	70166564	DISPLAY_MAGIC	CONCAT-PIECE	?	EMIT			701665C1 701665C3 701665C5	[@ac2, sx16(M16[wp(ac3, 6)])] = [@wp(ac3, 6), varying]	mixed	7	s@70166564.3
701665E2	WCMV	701665D9	DISPLAY_MAGIC	ASSIGN-STR-VARYING	?	EMIT				[@bp(s@70166564.4, 2), ac0] = [@bp(s@70166564.3, 0), ac1]	mixed	7	s@70166564.4 s@70166564.3
70166961	WADI	7016693C	DISPLAY_CAVE	CLAIM-BASE	-	EMIT			70166960	ac0 = s@7016693C.1	stmt	7	s@7016693C.1
70166967	WMSP	7016693C	DISPLAY_CAVE	CLAIM	-	EMIT				claim s@7016693C.1, ac2	stmt	7	s@7016693C.1
70166990	STASP	70166982	DISPLAY_CAVE	RELEASE	-	EMIT				release s@7016693C, ac1	stmt	7	s@7016693C.1
70166973	WCMV	7016693C	DISPLAY_CAVE	COPY-STR-EXACT	?	EMIT				[@bp(s@7016693C.1, 0), ac0] = [@ac3, ac1]	mixed	7	s@7016693C.1
7016697A	WCMV	7016693C	DISPLAY_CAVE	CONCAT-PIECE+SUBSTR	?	EMIT				[@ac2, ac0] = [@ac3, ac1]	register	7	s@7016693C.1
7016698B	WCMV	70166982	DISPLAY_CAVE	ASSIGN-STR-VARYING-PAD	b	EMIT				[@0x70000A4F:0, ac0] = [@bp(s@7016693C.1, 0), ac1]	mixed	7	s@7016693C.1
70166E8B	WADI	70166E7C	DISPLAY_SCREEN	CLAIM-BASE	-	EMIT			70166E8A	ac2 = s@70166E7C.1	stmt	7	s@70166E7C.1
70166EA6	WADI	70166E7C	DISPLAY_SCREEN	CLAIM-BASE	-	EMIT			70166EA5	ac0 = s@70166E7C.2	stmt	7	s@70166E7C.2
70166EC4	WADI	70166E7C	DISPLAY_SCREEN	CLAIM-BASE	-	EMIT			70166EC3	ac2 = s@70166E7C.3	stmt	7	s@70166E7C.3
70166E91	WMSP	70166E7C	DISPLAY_SCREEN	CLAIM	-	EMIT				claim s@70166E7C.1, ac1	stmt	7	s@70166E7C.1
70166EAC	WMSP	70166E7C	DISPLAY_SCREEN	CLAIM	-	EMIT				claim s@70166E7C.2, ac1	stmt	7	s@70166E7C.2
70166ECA	WMSP	70166E7C	DISPLAY_SCREEN	CLAIM	-	EMIT				claim s@70166E7C.3, ac0	stmt	7	s@70166E7C.3
70166EFB	STASP	70166EF1	DISPLAY_SCREEN	RELEASE	-	EMIT				release s@70166E7C, ac0	stmt	7	s@70166E7C.1
70166E9A	WCMV	70166E7C	DISPLAY_SCREEN	COPY-STR-EXACT	?	EMIT			70166E95 70166E97 70166E99	[@bp(s@70166E7C.1, 0), sx16(M16[wp(ac3, 238)])] = [@wp(ac3, 238), varying]	expr	7	s@70166E7C.1
70166EB9	WCMV	70166E7C	DISPLAY_SCREEN	COPY-STR-EXACT	?	EMIT				[@bp(s@70166E7C.2, 0), ac0] = [@bp(s@70166E7C.1, 0), ac1]	mixed	7	s@70166E7C.2 s@70166E7C.1
70166ED9	WCMV	70166E7C	DISPLAY_SCREEN	COPY-STR-EXACT	?	EMIT				[@bp(s@70166E7C.3, 0), ac0] = [@bp(s@70166E7C.2, 0), ac1]	mixed	7	s@70166E7C.3 s@70166E7C.2
70166EE9	WCMV	70166EE9	DISPLAY_SCREEN	ASSIGN-STR-MIN	c	EMIT				[@ac2, ac0] = [@bp(s@70166E7C.3, 0), 0x2F4]	mixed	7	s@70166E7C.3
70166F5E	WADI	70166F4F	DISPLAY_SCREEN	CLAIM-BASE	-	EMIT			70166F5D	ac2 = s@70166F4F.1	stmt	7	s@70166F4F.1
70166F79	WADI	70166F4F	DISPLAY_SCREEN	CLAIM-BASE	-	EMIT			70166F78	ac0 = s@70166F4F.2	stmt	7	s@70166F4F.2
70166F97	WADI	70166F4F	DISPLAY_SCREEN	CLAIM-BASE	-	EMIT			70166F96	ac2 = s@70166F4F.3	stmt	7	s@70166F4F.3
70166F64	WMSP	70166F4F	DISPLAY_SCREEN	CLAIM	-	EMIT				claim s@70166F4F.1, ac1	stmt	7	s@70166F4F.1
70166F7F	WMSP	70166F4F	DISPLAY_SCREEN	CLAIM	-	EMIT				claim s@70166F4F.2, ac1	stmt	7	s@70166F4F.2
70166F9D	WMSP	70166F4F	DISPLAY_SCREEN	CLAIM	-	EMIT				claim s@70166F4F.3, ac0	stmt	7	s@70166F4F.3
70166FCE	STASP	70166FC4	DISPLAY_SCREEN	RELEASE	-	EMIT				release s@70166F4F, ac0	stmt	7	s@70166F4F.1
70166F6D	WCMV	70166F4F	DISPLAY_SCREEN	COPY-STR-EXACT	?	EMIT			70166F68 70166F6A 70166F6C	[@bp(s@70166F4F.1, 0), sx16(M16[wp(ac3, 238)])] = [@wp(ac3, 238), varying]	expr	7	s@70166F4F.1
70166F8C	WCMV	70166F4F	DISPLAY_SCREEN	COPY-STR-EXACT	?	EMIT				[@bp(s@70166F4F.2, 0), ac0] = [@bp(s@70166F4F.1, 0), ac1]	mixed	7	s@70166F4F.2 s@70166F4F.1
70166FAC	WCMV	70166F4F	DISPLAY_SCREEN	COPY-STR-EXACT	?	EMIT				[@bp(s@70166F4F.3, 0), ac0] = [@bp(s@70166F4F.2, 0), ac1]	mixed	7	s@70166F4F.3 s@70166F4F.2
70166FBC	WCMV	70166FBC	DISPLAY_SCREEN	ASSIGN-STR-MIN	c	EMIT				[@ac2, ac0] = [@bp(s@70166F4F.3, 0), 0x2F4]	mixed	7	s@70166F4F.3
70166FF8	WADI	70166FE9	DISPLAY_SCREEN	CLAIM-BASE	-	EMIT			70166FF7	ac2 = s@70166FE9.1	stmt	7	s@70166FE9.1
70167010	WADI	70166FE9	DISPLAY_SCREEN	CLAIM-BASE	-	EMIT			7016700F	ac1 = s@70166FE9.2	stmt	7	s@70166FE9.2
70167027	WADI	70166FE9	DISPLAY_SCREEN	CLAIM-BASE	-	EMIT			70167026	ac2 = s@70166FE9.3	stmt	7	s@70166FE9.3
70166FFE	WMSP	70166FE9	DISPLAY_SCREEN	CLAIM	-	EMIT				claim s@70166FE9.1, ac1	stmt	7	s@70166FE9.1
70167017	WMSP	70166FE9	DISPLAY_SCREEN	CLAIM	-	EMIT				claim s@70166FE9.2, ac2	stmt	7	s@70166FE9.2
7016702E	WMSP	70166FE9	DISPLAY_SCREEN	CLAIM	-	EMIT				claim s@70166FE9.3, ac3	stmt	7	s@70166FE9.3
70167059	STASP	70167050	DISPLAY_SCREEN	RELEASE	-	EMIT				release s@70166FE9, ac0	stmt	7	s@70166FE9.1
70167007	WCMV	70166FE9	DISPLAY_SCREEN	COPY-STR-EXACT	?	EMIT			70167002 70167004 70167006	[@bp(s@70166FE9.1, 0), sx16(M16[wp(ac3, 618)])] = [@wp(ac3, 618), varying]	expr	7	s@70166FE9.1
7016700E	WCMV	70166FE9	DISPLAY_SCREEN	CONCAT-PIECE	?	EMIT				[@ac2, ac0] = [@ac3, ac1]	register	7	s@70166FE9.1
70167022	WCMV	70166FE9	DISPLAY_SCREEN	COPY-STR-EXACT	?	EMIT				[@bp(s@70166FE9.2, 0), ac0] = [@bp(s@70166FE9.1, 0), ac1]	mixed	7	s@70166FE9.2 s@70166FE9.1
70167039	WCMV	70166FE9	DISPLAY_SCREEN	COPY-STR-EXACT	?	EMIT				[@bp(s@70166FE9.3, 0), ac0] = [@bp(s@70166FE9.2, 0), ac1]	mixed	7	s@70166FE9.3 s@70166FE9.2
70167049	WCMV	70167049	DISPLAY_SCREEN	ASSIGN-STR-MIN	a	EMIT				[@ac2, ac0] = [@bp(s@70166FE9.3, 0), 0x2F4]	mixed	7	s@70166FE9.3
70167746	WADI	70167744	DISPLAY_INVENTORY	CLAIM-BASE	-	EMIT			70167745	ac2 = s@70167744.1	stmt	7	s@70167744.1
70167761	WADI	70167744	DISPLAY_INVENTORY	CLAIM-BASE	-	EMIT			70167760	ac1 = s@70167744.2	stmt	7	s@70167744.2
7016774C	WMSP	70167744	DISPLAY_INVENTORY	CLAIM	-	EMIT				claim s@70167744.1, ac0	stmt	7	s@70167744.1
70167769	WMSP	70167744	DISPLAY_INVENTORY	CLAIM	-	EMIT				claim s@70167744.2, ac2	stmt	7	s@70167744.2
70167797	STASP	70167794	DISPLAY_INVENTORY	RELEASE	-	EMIT				release s@70167744, ac0	stmt	7	s@70167744.1
70167757	WCMV	70167744	DISPLAY_INVENTORY	COPY-STR-EXACT	?	EMIT			70167754 70167756	[@bp(s@70167744.1, 0), sx16(M16[wp(ac3, 6)])] = [@wp(ac3, 6), varying]	expr	7	s@70167744.1
7016775F	WCMV	70167744	DISPLAY_INVENTORY	CONCAT-PIECE	?	EMIT			70167759 7016775B 7016775E	[@ac2, (0 - sx16(M16[wp(ac3, 6)]) + 19)] = [@0x7015155A:0, (0 - sx16(M16[wp(ac3, 6)]) + 19)]	mixed	7	s@70167744.1
7016777B	WCMV	70167772	DISPLAY_INVENTORY	ASSIGN-STR-VARYING	?	EMIT				[@bp(s@70167744.2, 2), 19] = [@bp(s@70167744.1, 0), 19]	expr	7	s@70167744.2 s@70167744.1
7016B89D	WADI	7016B860	GET_QUEST	CLAIM-BASE	-	EMIT			7016B89C	ac1 = s@7016B860.1	stmt	7	s@7016B860.1
7016B8B8	WADI	7016B860	GET_QUEST	CLAIM-BASE	-	EMIT			7016B8B7	ac1 = s@7016B860.2	stmt	7	s@7016B860.2
7016B8D2	WADI	7016B860	GET_QUEST	CLAIM-BASE	-	EMIT			7016B8D1	ac1 = s@7016B860.3	stmt	7	s@7016B860.3
7016B8A4	WMSP	7016B860	GET_QUEST	CLAIM	-	EMIT				claim s@7016B860.1, ac2	stmt	7	s@7016B860.1
7016B8BF	WMSP	7016B860	GET_QUEST	CLAIM	-	EMIT				claim s@7016B860.2, ac2	stmt	7	s@7016B860.2
7016B8DA	WMSP	7016B860	GET_QUEST	CLAIM	-	EMIT				claim s@7016B860.3, ac2	stmt	7	s@7016B860.3
7016B8FA	STASP	7016B8F7	GET_QUEST	RELEASE	-	EMIT				release s@7016B860, ac1	stmt	7	s@7016B860.1
7016B8AE	WCMV	7016B860	GET_QUEST	COPY-STR-EXACT+CALLRESULT	?	EMIT				[@bp(s@7016B860.1, 0), ac0] = [@ac3, ac1]	mixed	7	s@7016B860.1
7016B8B6	WCMV	7016B860	GET_QUEST	CONCAT-PIECE	?	EMIT			7016B8AF 7016B8B2 7016B8B5	[@ac2, sx16(M16[0x7000021C])] = [@0x7000021C, varying]	mixed	7	s@7016B860.1
7016B8CA	WCMV	7016B860	GET_QUEST	COPY-STR-EXACT+CALLRESULT	?	EMIT				[@bp(s@7016B860.2, 0), ac0] = [@bp(s@7016B860.1, 0), ac1]	mixed	7	s@7016B860.2 s@7016B860.1
7016B8D0	WCMV	7016B860	GET_QUEST	CONCAT-PIECE	?	EMIT			7016B8CB 7016B8CD 7016B8CF	[@ac2, 2] = [@0x7016B07E:0, ".\x0A"]	mixed	7	s@7016B860.2
7016B8EC	WCMV	7016B8E3	GET_QUEST	ASSIGN-STR-VARYING+CALLRESULT	?	EMIT				[@bp(s@7016B860.3, 2), ac0] = [@bp(s@7016B860.2, 0), ac1]	mixed	7	s@7016B860.3 s@7016B860.2
7016BC26	WADI	7016BBE3	GET_QUEST	CLAIM-BASE	-	EMIT			7016BC25	ac1 = s@7016BBE3.1	stmt	7	s@7016BBE3.1
7016BC3F	WADI	7016BBE3	GET_QUEST	CLAIM-BASE	-	EMIT			7016BC3E	ac1 = s@7016BBE3.2	stmt	7	s@7016BBE3.2
7016BC2D	WMSP	7016BBE3	GET_QUEST	CLAIM	-	EMIT				claim s@7016BBE3.1, ac2	stmt	7	s@7016BBE3.1
7016BC47	WMSP	7016BBE3	GET_QUEST	CLAIM	-	EMIT				claim s@7016BBE3.2, ac2	stmt	7	s@7016BBE3.2
7016BC67	STASP	7016BC64	GET_QUEST	RELEASE	-	EMIT				release s@7016BBE3, ac1	stmt	7	s@7016BBE3.1
7016BC37	WCMV	7016BBE3	GET_QUEST	COPY-STR-EXACT	?	EMIT			7016BC34 7016BC36	[@bp(s@7016BBE3.1, 0), (sx16(M16[((sx16(M16[((sx16(M16[0x70000216]) * 686) + M32[0x70000210] + 43)]) * 19) + M32[0x70000212] + 0x7C2)]) + 140)] = [@bp(ac3, 0x4E8), (sx16(M16[((sx16(M16[((sx16(M16[0x70000216]) * 686) + M32[0x70000210] + 43)]) * 19) + M32[0x70000212] + 0x7C2)]) + 140)]	expr	7	s@7016BBE3.1
7016BC3D	WCMV	7016BBE3	GET_QUEST	CONCAT-PIECE	?	EMIT			7016BC38 7016BC3A 7016BC3C	[@ac2, 141] = [@0x7016AA89:0, "before they all perish.  The barrier may only be\x0Acrossed by the use of an amulet that was charmed by\x0Aan ancient forgotten underworld wizard.\x0A"]	mixed	7	s@7016BBE3.1
7016BC59	WCMV	7016BC50	GET_QUEST	ASSIGN-STR-VARYING	?	EMIT				[@bp(s@7016BBE3.2, 2), (sx16(M16[((sx16(M16[((sx16(M16[0x70000216]) * 686) + M32[0x70000210] + 43)]) * 19) + M32[0x70000212] + 0x7C2)]) + 0x119)] = [@bp(s@7016BBE3.1, 0), (sx16(M16[((sx16(M16[((sx16(M16[0x70000216]) * 686) + M32[0x70000210] + 43)]) * 19) + M32[0x70000212] + 0x7C2)]) + 0x119)]	expr	7	s@7016BBE3.2 s@7016BBE3.1
7016DC00	WADI	7016DBFC	HELP	CLAIM-BASE	-	EMIT			7016DBFF	ac0 = s@7016DBFC.1	stmt	7	s@7016DBFC.1
7016DC06	WMSP	7016DBFC	HELP	CLAIM	-	EMIT				claim s@7016DBFC.1, ac2	stmt	7	s@7016DBFC.1
7016DC2E	STASP	7016DBFC	HELP	RELEASE	-	EMIT				release s@7016DBFC, ac1	stmt	7	s@7016DBFC.1
7016DC16	WCMV	7016DBFC	HELP	COPY-STR-EXACT	?	EMIT			7016DC0D 7016DC0F 7016DC12 7016DC15	[@bp(s@7016DBFC.1, 0), sx16(M16[((sx16(M16[wp(ac3, 16)]) * 12) - 0xFFFFD9A)])] = [@bp((sx16(M16[wp(ac3, 16)]) * 12), -0x1FFFFB32), sx16(M16[((sx16(M16[wp(ac3, 16)]) * 12) - 0xFFFFD9A)])]	expr	7	s@7016DBFC.1
7016DC1E	WCMV	7016DBFC	HELP	CONCAT-PIECE	?	EMIT			7016DC18 7016DC1A 7016DC1D	[@ac2, (0 - sx16(M16[((sx16(M16[wp(ac3, 16)]) * 12) - 0xFFFFD9A)]) + 30)] = [@0x7015155A:0, (0 - sx16(M16[((sx16(M16[wp(ac3, 16)]) * 12) - 0xFFFFD9A)]) + 30)]	mixed	7	s@7016DBFC.1
7016DC29	WCMV	7016DBFC	HELP	COPY-STR-EXACT	a	EMIT				[@ac2, 30] = [@bp(s@7016DBFC.1, 0), 30]	mixed	7	s@7016DBFC.1
7016DF79	WADI	7016DF68	INIT_OBJ_TBL	CLAIM-BASE	-	EMIT			7016DF78	ac0 = s@7016DF68.1	stmt	7	s@7016DF68.1
7016DF97	WADI	7016DF68	INIT_OBJ_TBL	CLAIM-BASE	-	EMIT			7016DF96	ac1 = s@7016DF68.2	stmt	7	s@7016DF68.2
7016DF7F	WMSP	7016DF68	INIT_OBJ_TBL	CLAIM	-	EMIT				claim s@7016DF68.1, ac2	stmt	7	s@7016DF68.1
7016DF9E	WMSP	7016DF68	INIT_OBJ_TBL	CLAIM	-	EMIT				claim s@7016DF68.2, ac2	stmt	7	s@7016DF68.2
7016DFDB	STASP	7016DFC4	INIT_OBJ_TBL	RELEASE	-	EMIT				release s@7016DF68, ac1	stmt	7	s@7016DF68.1
7016DF95	WCMV	7016DF68	INIT_OBJ_TBL	COPY-STR-EXACT	?	EMIT				[@bp(s@7016DF68.1, 1), ac0] = [@ac3, ac1]	mixed	7	s@7016DF68.1
7016DFA9	WCMV	7016DF68	INIT_OBJ_TBL	COPY-STR-EXACT	?	EMIT				[@bp(s@7016DF68.2, 0), ac0] = [@bp(s@7016DF68.1, 0), ac1]	mixed	7	s@7016DF68.2 s@7016DF68.1
7016DFD6	WCMV	7016DFC4	INIT_OBJ_TBL	ASSIGN-STR-FIXED+SUBSTR	b	EMIT				[@(bp(M32[0x70000210], 1) + ((sx16(M16[0x70000216]) * 4) + 0x3DF71)), 4] = [@bp(s@7016DF68.2, 0), ac1]	mixed	7	s@7016DF68.2
7016EDAC	WADI	7016ED93	LIST_PLAYERS	CLAIM-BASE	-	EMIT			7016EDAB	ac0 = s@7016ED93.1	stmt	7	s@7016ED93.1
7016EDC0	WADI	7016ED93	LIST_PLAYERS	CLAIM-BASE	-	EMIT			7016EDBF	ac2 = s@7016ED93.2	stmt	7	s@7016ED93.2
7016EDDB	WADI	7016ED93	LIST_PLAYERS	CLAIM-BASE	-	EMIT			7016EDDA	ac1 = s@7016ED93.3	stmt	7	s@7016ED93.3
7016EDF6	WADI	7016ED93	LIST_PLAYERS	CLAIM-BASE	-	EMIT			7016EDF5	ac1 = s@7016ED93.4	stmt	7	s@7016ED93.4
7016EE10	WADI	7016ED93	LIST_PLAYERS	CLAIM-BASE	-	EMIT			7016EE0F	ac1 = s@7016ED93.5	stmt	7	s@7016ED93.5
7016EDB2	WMSP	7016ED93	LIST_PLAYERS	CLAIM	-	EMIT				claim s@7016ED93.1, ac2	stmt	7	s@7016ED93.1
7016EDC7	WMSP	7016ED93	LIST_PLAYERS	CLAIM	-	EMIT				claim s@7016ED93.2, ac3	stmt	7	s@7016ED93.2
7016EDE2	WMSP	7016ED93	LIST_PLAYERS	CLAIM	-	EMIT				claim s@7016ED93.3, ac2	stmt	7	s@7016ED93.3
7016EDFD	WMSP	7016ED93	LIST_PLAYERS	CLAIM	-	EMIT				claim s@7016ED93.4, ac2	stmt	7	s@7016ED93.4
7016EE18	WMSP	7016ED93	LIST_PLAYERS	CLAIM	-	EMIT				claim s@7016ED93.5, ac2	stmt	7	s@7016ED93.5
7016EE38	STASP	7016EE35	LIST_PLAYERS	RELEASE	-	EMIT				release s@7016ED93, ac1	stmt	7	s@7016ED93.1
7016EDBB	WCMV	7016ED93	LIST_PLAYERS	COPY-STR-EXACT+SUBSTR	?	EMIT				[@bp(s@7016ED93.1, 0), ac0] = [@ac3, ac1]	mixed	7	s@7016ED93.1
7016EDD2	WCMV	7016ED93	LIST_PLAYERS	COPY-STR-EXACT	?	EMIT			7016EDD1	[@bp(s@7016ED93.2, 0), (sx16(M16[(M32[0x70000210] + 0x1EFB9)]) + 1)] = [@bp(s@7016ED93.1, 0), (sx16(M16[(M32[0x70000210] + 0x1EFB9)]) + 1)]	expr	7	s@7016ED93.2 s@7016ED93.1
7016EDD9	WCMV	7016ED93	LIST_PLAYERS	CONCAT-PIECE	?	EMIT			7016EDD3 7016EDD6 7016EDD8	[@ac2, 12] = [@bp(ac3, 48), 12]	mixed	7	s@7016ED93.2
7016EDED	WCMV	7016ED93	LIST_PLAYERS	COPY-STR-EXACT	?	EMIT			7016EDEC	[@bp(s@7016ED93.3, 0), (sx16(M16[(M32[0x70000210] + 0x1EFB9)]) + 13)] = [@bp(s@7016ED93.2, 0), (sx16(M16[(M32[0x70000210] + 0x1EFB9)]) + 13)]	expr	7	s@7016ED93.3 s@7016ED93.2
7016EDF4	WCMV	7016ED93	LIST_PLAYERS	CONCAT-PIECE	?	EMIT			7016EDEE 7016EDF1 7016EDF3	[@ac2, 4] = [@bp(ac3, 60), 4]	mixed	7	s@7016ED93.3
